/25/2018  4:01:52.529 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:40:00.914 __WiFiDeviceCopyPreparedScanResults: network records count: 0 
11/25/2018  4:40:00.947 __WiFiDeviceCopyLinkChangedSubReasonString: Apple80211ReturnToString failed 1
11/25/2018  4:40:00.947 __WiFiDeviceProcessDriverAvailableEvent: driver availability:false, reason:PowerOff(0xe0821804), subreason:(null)(0x0) 

11/25/2018  4:40:00.947 __WiFiDeviceProcessDriverAvailableEvent: driver programCounter:(0x0),  linkRegister:(0x0), fileName: lineNumber:(0) functionName: 

11/25/2018  4:40:00.948 __WiFiManagerDispatchDeviceAvailable: driver availability false

11/25/2018  4:40:00.949 Aborting EAP
11/25/2018  4:40:00.950 Aborted current auto-join session.
11/25/2018  4:40:00.950 __WiFiAWDManagerPrepareWatchdogMetric: WatchdogMetric : reason(PowerOff) functionName() fileName() 

11/25/2018  4:40:00.950 Submitted wifi awd metric <0x9000e> with no error
11/25/2018  4:40:00.951 __WiFiDeviceProcessLinkEvent: isLinkDown 1
11/25/2018  4:40:00.951 __WiFiDeviceManagerRemoveMediaPlaybackStateObserver
11/25/2018  4:40:00.952 AJScan: Filtered networks - PhoneReset 
11/25/2018  4:40:00.952 __WiFiDeviceManagerStateMachineRun: current state: Idle
11/25/2018  4:40:00.952 __WiFiDeviceManagerIsGeotagged5GhzNetworkPresent: location is older than 120 secs
11/25/2018  4:40:00.952 Attempting multi-stage auto join mStageAutoJoinAttempts=0
11/25/2018  4:40:00.952 __WiFiDeviceManagerScanPreviousNetworkChannel: latitude=+29.756421, longitude=-98.692640 Accuracy=65.000000  timeIntervalSinceNow=1143.233709secs source=WiFi
11/25/2018  4:40:00.952 freshness 60.000000secs location_age 1143.233736secs, lifeSpan 5.243106, accuracy 65.000000m req_accuracy 165.000000m ==> isLocationValid 0
11/25/2018  4:40:00.952 __WiFiDeviceManagerScanPreviousNetworkChannel: isValid 0
11/25/2018  4:40:00.952 multi-stage auto-join: Scanning for previous network PhoneReset on channel 11
11/25/2018  4:40:00.952 Performing auto-join broadcast scan with a modified dwell time of 110ms on channels: 11 
11/25/2018  4:40:00.952 AJScan: Scan-{PrevChannel Inactive FullReset Link}  Expecting-[0NW, 0Hid, 0HS20, 0HS] @ {stationary, 29.756, -98.693, 65.0m, -1143.2secs}]
11/25/2018  4:40:00.952 Enqueuing command type: "Scan" pending commands: 1
11/25/2018  4:40:00.952 __WiFiDeviceManagerSetInterfaceRank: setting interface rank kSCNetworkServicePrimaryRankDefault
11/25/2018  4:40:00.953 __WiFiDeviceManagerLQMEventCallback: null ccaNumRef
11/25/2018  4:40:00.953 __WiFiDeviceManagerLQMEventCallback: null snrNumRef
11/25/2018  4:40:00.954 Link went down: isInVoluntary 0, reason Unknown(4), subreason 8, rssi -62
11/25/2018  4:40:00.954 Submitted wifi awd metric <0x90009> with no error
11/25/2018  4:40:00.954 __WiFiDeviceResetCCAHistory
11/25/2018  4:40:00.954 __WiFiDeviceResetRssiHistory
11/25/2018  4:40:00.957 WiFiDeviceIsChannelSupportedForRanging: channel 0 is supported for ranging, suggested channel 0
11/25/2018  4:40:00.957 WiFiDeviceIsMultipleChannelRangingSupported: multiple channel ranging is supported
11/25/2018  4:40:00.960 WiFiDeviceIsSWCorrectionRequiredForRanging: SW correction is not needed for ranging on this device
11/25/2018  4:40:00.960 __WiFiDeviceManagerAwdlAvailableCallback: AWDL availability changed to TRUE
11/25/2018  4:40:00.961 IPV4 State change for en0
11/25/2018  4:40:00.963 __WiFiDeviceCheckForIPRenewalWakeupSupport: State:/Network/Interface/en0/ActiveDuringSleepSupported = FALSE
11/25/2018  4:40:00.964 IPv4 Primary interface is (null) and IPv6 Primary Interface is (null)
11/25/2018  4:40:00.964 WiFiNetworkGetSSID: null network ref
11/25/2018  4:40:00.964 __WiFiManagerGeoTagNetworkIfApplicable: network: (null), isWiFiNetworkWaitingToBeGeoTagged 0
11/25/2018  4:40:00.964 -[WiFiIDSSyncEngine currentNetworkChanged]: <0x16fdd3000>, role 1, currentNetwork (null)
11/25/2018  4:40:00.964 -[WiFiIDSSyncEngine currentNetworkChanged]: adjusted waitForReAssociationTimer <CFRunLoopTimer 0x1006862c0 [0x1b45cf538]>{valid = Yes, firing = No, interval = 879900215, tolerance = 0, next fire date = 564835231 (29.999967 @ 291575502617), callout = (NSTimer) [WiFiIDSSyncEngine companionReAssociationWaitTimerFired:] (0x1829e737c / 0x10030b890) (/usr/sbin/wifid), context = <CFRunLoopTimer context 0x10068bb90>}
11/25/2018  4:40:00.965 Total connection time to PhoneReset 1543025392.165500
11/25/2018  4:40:00.967 __WiFiManagerPreferencesCallback: <thread 0x16fdd3000>, 2
11/25/2018  4:40:00.968 WiFiLoggingSetLogFile: Current log file: (null), new log file: (null), class C file: NO
11/25/2018  4:40:00.968 __WiFiManagerDeviceManagerApplier: set policies (null)
11/25/2018  4:40:00.968 WiFiDeviceSetWapiEnabled: Set WAPI DISABLED
11/25/2018  4:40:00.968 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:40:00.968 WiFiDeviceManagerSetNetworks: Apple Store is disabled until first user join
11/25/2018  4:40:00.968 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:40:00.969 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:40:00.969 __WiFiManagerCheckSCCleanUpScheduling: Already Unscheduled
11/25/2018  4:40:00.970 WiFiMetricsManagerMetricQueryCallback: <Thread 1876766720> <0x90027>
11/25/2018  4:40:00.970 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDAttemptedStr:PhoneReset, 
11/25/2018  4:40:00.970 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDConnectedToStr:PhoneReset
11/25/2018  4:40:00.970 WiFiMetricsManagerMetricQueryCallback: <Thread 1876766720> <0x90027>
11/25/2018  4:40:00.970 Submitted wifi awd metric <0x90027> with no error
11/25/2018  4:40:00.970 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDAttemptedStr:PhoneReset, 
11/25/2018  4:40:00.970 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDConnectedToStr:PhoneReset
11/25/2018  4:40:00.970 Submitted wifi awd metric <0x90027> with no error
11/25/2018  4:40:00.971 __WiFiDeviceCheckForIPRenewalWakeupSupport: State:/Network/Interface/en0/ActiveDuringSleepSupported = FALSE
11/25/2018  4:40:00.976 WiFiManagerStoreLeakyAPData: updated LEAKY_AP_LEARNED_DATA for network PhoneReset - 0:14:d1:af:39:90
11/25/2018  4:40:00.977 __WiFiManagerPreferencesCallback: <thread 0x16fdd3000>, 2
11/25/2018  4:40:00.977 WiFiLoggingSetLogFile: Current log file: (null), new log file: (null), class C file: NO
11/25/2018  4:40:00.977 __WiFiManagerDeviceManagerApplier: set policies (null)
11/25/2018  4:40:00.978 WiFiDeviceSetWapiEnabled: Set WAPI DISABLED
11/25/2018  4:40:00.978 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:40:00.978 WiFiDeviceManagerSetNetworks: Apple Store is disabled until first user join
11/25/2018  4:40:00.978 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:40:00.978 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:40:00.978 __WiFiManagerCheckSCCleanUpScheduling: Already Unscheduled
11/25/2018  4:40:00.978 Power stats update: Type 0x4 UnassociatedSleepDur 613614 AssociatedSleepDur 4 TotalDur 614630 RoamDur 0
11/25/2018  4:40:00.978 Submitted wifi awd metric <0x90010> with no error
11/25/2018  4:40:00.979 __WiFiDeviceCopyLinkChangedSubReasonString: Apple80211ReturnToString failed 1
11/25/2018  4:40:00.979 __WiFiDeviceProcessDriverAvailableEvent: driver availability:true, reason:Initializing(0xe0821803), subreason:(null)(0x0) 

11/25/2018  4:40:00.979 __WiFiDeviceProcessDriverAvailableEvent: driver programCounter:(0x0),  linkRegister:(0x0), fileName: lineNumber:(0) functionName: 

11/25/2018  4:40:00.979 __WiFiDeviceProcessDriverAvailableEvent No watch dog extended info flags set for this availability report
11/25/2018  4:40:00.979 __WiFiManagerDispatchDeviceAvailable: driver availability true

11/25/2018  4:40:00.979 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType received:10 eventName:WiFiSoftErrorEventDriverAvailable
11/25/2018  4:40:00.979 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: Invalid SoftErrorEvent:10
11/25/2018  4:40:00.979 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: ErrorDetection to be filtered:0 for event:10
11/25/2018  4:40:00.979 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType:(10) Unknown
11/25/2018  4:40:00.979 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:40:00.979 __WiFiAWDManagerPrepareWatchdogMetric: WatchdogMetric : reason(Initializing) functionName() fileName() 

11/25/2018  4:40:00.979 Submitted wifi awd metric <0x9000e> with no error
11/25/2018  4:40:00.980 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:40:00.981 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:40:00.985 __WiFiManagerPreferencesCallback: <thread 0x16fdd3000>, 3
11/25/2018  4:40:00.985 WiFiLoggingSetLogFile: Current log file: (null), new log file: (null), class C file: NO
11/25/2018  4:40:00.986 __WiFiManagerDeviceManagerApplier: set policies (null)
11/25/2018  4:40:00.986 WiFiDeviceSetWapiEnabled: Set WAPI DISABLED
11/25/2018  4:40:00.987 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:40:00.987 WiFiDeviceManagerSetNetworks: Apple Store is disabled until first user join
11/25/2018  4:40:00.987 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:40:00.987 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:40:00.987 __WiFiManagerCheckSCCleanUpScheduling: Already Unscheduled
11/25/2018  4:40:00.993 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:40:00.993 locationd requesting addition of BGScan networks.
11/25/2018  4:40:00.993 Preparing background scan request for "PhoneReset" "60:c5:47:4f:51:1d ~ EN" "60:c5:47:4d:cd:6f ~ EN" "60:c5:47:4f:51:1c ~ EN" on channels: 1 6 11 Background Scan Caching is Enabled
11/25/2018  4:40:01.003 WiFiDeviceRequestAssociatedSleep: ActiveDuringSleepRequested is already removed ((null)).
11/25/2018  4:40:01.010 Disable WoW requested by "mediaserverd"
11/25/2018  4:40:01.012 MIS state is Disabled
11/25/2018  4:40:01.012 MIS state queried by "apsd" is Disable
11/25/2018  4:40:01.014 MIS state is Disabled
11/25/2018  4:40:01.014 MIS state queried by "locationd" is Disable
11/25/2018  4:40:01.015 MIS state is Disabled
11/25/2018  4:40:01.015 MIS state queried by "imagent" is Disable
11/25/2018  4:40:01.015 MIS state is Disabled
11/25/2018  4:40:01.015 MIS state queried by "CommCenter" is Disable
11/25/2018  4:40:01.015 MIS state is Disabled
11/25/2018  4:40:01.015 MIS state queried by "mediaserverd" is Disable
11/25/2018  4:40:01.015 MIS state is Disabled
11/25/2018  4:40:01.015 MIS state queried by "identityservices" is Disable
11/25/2018  4:40:01.015 MIS state is Disabled
11/25/2018  4:40:01.015 MIS state queried by "UserEventAgent" is Disable
11/25/2018  4:40:01.015 MIS state is Disabled
11/25/2018  4:40:01.015 MIS state queried by "SpringBoard" is Disable
11/25/2018  4:40:01.015 MIS state is Disabled
11/25/2018  4:40:01.015 MIS state queried by "callservicesd" is Disable
11/25/2018  4:40:01.016 MIS state is Disabled
11/25/2018  4:40:01.016 MIS state queried by "calaccessd" is Disable
11/25/2018  4:40:01.016 WiFiManagerGetUserAutoJoinState: user auto join state 1
11/25/2018  4:40:01.016 User auto join state queried by "SpringBoard" is Enable
11/25/2018  4:40:01.016 MIS state is Disabled
11/25/2018  4:40:01.016 MIS state queried by "nanoregistryd" is Disable
11/25/2018  4:40:01.018 apsd[106] is a wow client
11/25/2018  4:40:01.018 WoW is Enabled, 1 WoW Clients
11/25/2018  4:40:01.021 apsd[106] is a wow client
11/25/2018  4:40:01.021 WoW is Enabled, 1 WoW Clients
11/25/2018  4:40:01.068 Completed Apple80211ScanAsync on en0 (0x0)
11/25/2018  4:40:01.068 __WiFiDeviceProcessScanDoneEvent: Filtering WAPI networks
11/25/2018  4:40:01.068 __WiFiDeviceCreateFilteredScanResults: rssiThresh 0, doTrimming 0, scanResults count: 10, trimmedScanResults count: 10, filteredScanResults count: 10 
11/25/2018  4:40:01.068 __WiFiDeviceAddScanCacheEntry: 2 scan cache entries exist. Creating a scan cache entry with 10 scanResults
11/25/2018  4:40:01.069 __WiFiDeviceUpdateCache: maxAge: 14 seconds, cache entries before update: 3, cache entries after update: 1 
11/25/2018  4:40:01.069 Auto join scan completed (0) with current state: Scanning Previous Network Channel
11/25/2018  4:40:01.069 Ignorning old request.  CurrentCommand=927 PendingCommand=928
11/25/2018  4:40:01.069 Dequeuing command type: "Scan" pending commands: 0
11/25/2018  4:40:01.069 Attempting Apple80211ScanAsync on en0
11/25/2018  4:40:01.069 __WiFiDeviceCopyPreparedScanResults: maxAge 0 seconds, numCacheEntries: 0, cacheEntryUsable 0, cacheUsable 0, scanResultsFound 0, scanResults count: 0, scanChannelSet count: 0 
11/25/2018  4:40:01.069 __WiFiDeviceCopyPreparedScanResults: network records count: 0 
11/25/2018  4:40:01.117 age diff 1143.381820, accuracy diff 0.000000
11/25/2018  4:40:01.117 didUpdateLocations: latitude=+29.756421, longitude=-98.692640 Accuracy=65.000000  timeIntervalSinceNow=0.017438secs source=WiFi
11/25/2018  4:40:01.217 Completed Apple80211ScanAsync on en0 (0x0)
11/25/2018  4:40:01.217 __WiFiDeviceProcessScanDoneEvent: Filtering WAPI networks
11/25/2018  4:40:01.217 __WiFiDeviceCreateFilteredScanResults: rssiThresh 0, doTrimming 0, scanResults count: 11, trimmedScanResults count: 11, filteredScanResults count: 11 
11/25/2018  4:40:01.217 __WiFiDeviceAddScanCacheEntry: 1 scan cache entries exist. Creating a scan cache entry with 11 scanResults
11/25/2018  4:40:01.218 __WiFiDeviceUpdateCache: maxAge: 14 seconds, cache entries before update: 2, cache entries after update: 2 
11/25/2018  4:40:01.218 Auto join scan completed (0) with current state: Scanning Previous Network Channel
11/25/2018  4:40:01.218 __WiFiDeviceManagerStateMachineRun: current state: Scanning Previous Network Channel
11/25/2018  4:40:01.218 __WiFiDeviceManagerProcessMultiStageScanResults: current state: Scanning Previous Network Channel
11/25/2018  4:40:01.218 Scanning Previous Network Channel found: , Shipping, , , Office, , Mannapov, Guest, PhoneReset, , beta
11/25/2018  4:40:01.219 WiFiNetworkGetSSID: null network ref
11/25/2018  4:40:01.219 __WiFiDeviceManagerProcessMultiStageScanResults: scanned# 11, known# 1, isHS20AccountConfigured 0, topRankedKnownNetwork (null)
11/25/2018  4:40:01.219 WiFiNetworkSetDisabledUntilDate: null disabled until date, removing property
11/25/2018  4:40:01.219 WiFiNetworkSetDisabledUntilDate: null disabled until date, removing property
11/25/2018  4:40:01.219 __WiFiDeviceManagerPrepareCandidates: current state: Scanning Previous Network Channel 
11/25/2018  4:40:01.219 Attempting auto-join for networks in following order: PhoneReset(11), 
11/25/2018  4:40:01.219 Autojoin is processing network 1 of 1 candidates
11/25/2018  4:40:01.219 Attempting auto join association of PhoneReset
11/25/2018  4:40:01.219 Calling OneStats function [AssocStart] here: __WiFiDeviceManagerAssociateCandidate
11/25/2018  4:40:01.219 WiFiMetricsOneStatsRecordAssocStats: OneStats is NOT Configured! No-op here- Returning!
11/25/2018  4:40:01.219 Enqueuing command type: "Association" pending commands: 1
11/25/2018  4:40:01.219 Dequeuing command type: "Association" pending commands: 0
11/25/2018  4:40:01.219 Attempting Apple80211AssociateAsync
11/25/2018  4:40:01.240 __WiFiDeviceRecordLastSSIDInfo: network:PhoneReset assocSuccess:0 
11/25/2018  4:40:01.294 __WiFiDeviceProcessLinkEvent: isLinkDown 0
11/25/2018  4:40:01.294 +[RootNetwork(CustomMethods) getRootNetworkMatchingWiFiNetwork:fromMOC:]: fetch result# 1, error (null)
11/25/2018  4:40:01.294 __WiFiDeviceManagerAddMediaPlaybackStateObserver, isCarplay 0, user forced 0
11/25/2018  4:40:01.295 __WiFiDeviceManagerNowPlayingStateDidChange: Reading Initial State
11/25/2018  4:40:01.296 __WiFiDeviceManagerSetInterfaceRank: setting interface rank kSCNetworkServicePrimaryRankDefault
11/25/2018  4:40:01.296 __WiFiDeviceManagerNowPlayingStateDidChange_block_invoke: Unknown
11/25/2018  4:40:01.296 WiFiNetworkIsEdgeBss: 0:14:d1:af:39:90 - no - {bcnloss:0 trgDisc:0}
11/25/2018  4:40:01.296 Detected multiAP environment for PhoneReset
11/25/2018  4:40:01.296 __WiFiDeviceManagerEvaluateAPEnvironment: Getting AP environment for PhoneReset. Learning period 259200 secs Expiry period 2592000 secs
11/25/2018  4:40:01.296 __WiFiDeviceManagerEvaluateAPEnvironment: AP environment is 4 for PhoneReset(0:14:d1:af:39:90)
11/25/2018  4:40:01.296 WiFiDeviceSetRoamParams: setting roam profile to type 3
11/25/2018  4:40:01.311 __WiFiDeviceManagerEvaluateAPEnvironment: Getting AP environment for PhoneReset. Learning period 259200 secs Expiry period 2592000 secs
11/25/2018  4:40:01.311 __WiFiDeviceManagerEvaluateAPEnvironment: AP environment is 4 for PhoneReset(0:14:d1:af:39:90)
11/25/2018  4:40:01.311 __WiFiLQAMgrSetCurrentNetwork: Joined SSID: PhoneReset BSSID: 0:14:d1:af:39:90 RSSI: -58 Chan: 11 ApEnv: 4
11/25/2018  4:40:01.311 __WiFiDeviceResetCCAHistory
11/25/2018  4:40:01.311 __WiFiDeviceResetRssiHistory
11/25/2018  4:40:01.311 __WiFiLQAMgrLogStats(stationary): Rssi: -58 Cca: 0 TxPer: 0.0% (0) BcnPer: 0.0% (0, 90.0%) RxFrms 0 RxRetryFrames: 0 TxRate: 0 RxRate: 0 FBRate: 0 TxFwFrms: 0 TxFwFail:0 TxReTrans: 0 time: 295918.4secs
11/25/2018  4:40:01.311 __WiFiDeviceManagerLQMEventCallback: null ccaNumRef
11/25/2018  4:40:01.311 _CFPropertyListCreateBinaryData: CFPropertyListCreateWithData returned with error Error Domain=NSCocoaErrorDomain Code=3851 "Property list invalid for format: 200 (property lists cannot contain objects of type 'WiFiNetwork')" UserInfo={NSDebugDescription=Property list invalid for format: 200 (property lists cannot contain objects of type 'WiFiNetwork')}
11/25/2018  4:40:01.312 __WiFiDeviceProcessLinkEvent: Initializing lqm value: rawRssi -58, scaledRssi 0.838377, noise -97, snr 35
11/25/2018  4:40:01.312 __WiFiMetricsManagerPrepareLinkChangeNetworkParams: OUI:00:14:d1 Channel:11(20MHz) Flags:0x82 PhyMode:0x10 Security:0x0 WPA:[Prot:0x0 McastCipher:0x0 UcastCipher:0x0 AKM:0x0 Caps:0x0] HT:[Info:0x11fe AMPDU:0x17 TXBF:0x0 Ext:0xc00 ASEL:0x0] VHT:[Info:0x0]
11/25/2018  4:40:01.312 __WiFiManagerGeoTagNetworkIfApplicable: network: PhoneReset, isWiFiNetworkWaitingToBeGeoTagged 0
11/25/2018  4:40:01.312 __WiFiManagerGeoTagNetwork: PhoneReset
11/25/2018  4:40:01.312 __WiFiManagerGeoTagNetwork: latitude=+29.756421, longitude=-98.692640 Accuracy=65.000000  timeIntervalSinceNow=0.212540secs source=WiFi
11/25/2018  4:40:01.312 freshness 60.000000secs location_age 0.212558secs, lifeSpan 9.000000, accuracy 65.000000m req_accuracy 165.000000m ==> isLocationValid 1
11/25/2018  4:40:01.312 __WiFiManagerGeoTagNetwork: isValid 1
11/25/2018  4:40:01.312 __WiFiManagerUpdateCurrentNetworkWithNewLocation: GEOTAG PhoneReset 
11/25/2018  4:40:01.313 -[WiFiNetworkStoreController setGeoTag:forNetwork:]: PhoneReset[0:14:d1:af:39:90], auth 0, wifiBand 1, 29.756421,-98.692640
11/25/2018  4:40:01.313 __WiFiManagerGeoTagNetwork: LEECHED_LOC_STAT_HIGH_ACCURACY_GEOTAG: GOOD 238, BAD 14
11/25/2018  4:40:01.313 Submitted wifi awd metric <0x90009> with no error
11/25/2018  4:40:01.313 +[RootNetwork(CustomMethods) getRootNetworkMatchingWiFiNetwork:fromMOC:]: fetch result# 1, error (null)
11/25/2018  4:40:01.313 -[WiFiNetworkStoreController setGeoTag:forNetwork:]_block_invoke: existing geotags#1 for PhoneReset
11/25/2018  4:40:01.313 -[WiFiNetworkStoreController setGeoTag:forNetwork:]_block_invoke: did match existing geotag?: YES
11/25/2018  4:40:01.313 -[WiFiNetworkStoreController setGeoTag:forNetwork:]_block_invoke: update the geotag with latest loc
11/25/2018  4:40:01.314 -[WiFiNetworkStoreController mocDidSaveNotification:]: <Thread: 0x16feeb000>
11/25/2018  4:40:01.314 -[WiFiNetworkStoreController saveChildContext]: <Thread: 0x16feeb000> saved !!
11/25/2018  4:40:01.314 -[WiFiNetworkStoreController setGeoTag:forNetwork:]_block_invoke: COREDATA OPERATION TIME 1.114964 ms
11/25/2018  4:40:01.314 -[WiFiNetworkStoreController saveMainContext]: <Thread: 0x16feeb000> saved !!
11/25/2018  4:40:01.314 __WiFiDeviceManagerAttemptNetworkTransition: latitude=+29.756421, longitude=-98.692640 Accuracy=65.000000  timeIntervalSinceNow=0.214206secs source=WiFi
11/25/2018  4:40:01.314 freshness 60.000000secs location_age 0.214226secs, lifeSpan 9.000000, accuracy 65.000000m req_accuracy 165.000000m ==> isLocationValid 1
11/25/2018  4:40:01.314 __WiFiDeviceManagerAttemptNetworkTransition: isLocValid 1
11/25/2018  4:40:01.314 __WiFiDeviceManagerAttemptNetworkTransition: did not try location based logic last time we auto joined
11/25/2018  4:40:01.314 +[RootNetwork(CustomMethods) getAllRootNetworksCountFromMOC:]_block_invoke: error (null), rootNetworksCount 1
11/25/2018  4:40:01.315 +[GeoTag(CustomMethods) getAllGeoTagsFromMOC:]: fetch result# 1, error (null)
11/25/2018  4:40:01.315 -[WiFiNetworkStoreController copyScoreSortedNetworksAvailableAtLocation:]_block_invoke: created network PhoneReset: isHidden=0, isEAP=0, isWPA=0, isWEP=0, WAPI=0, type=0, enabled=1
11/25/2018  4:40:01.315 __WiFiDeviceManagerAttemptNetworkTransition: total time to get location based networks 0.481009ms
11/25/2018  4:40:01.315 __WiFiDeviceManagerAttemptNetworkTransition: score sorted networks (
    "PhoneReset: isHidden=0, isEAP=0, isWPA=0, isWEP=0, WAPI=0, type=0, enabled=1"
)
11/25/2018  4:40:01.315 __WiFiDeviceManagerTransitionToNetwork: topNetwork: PhoneReset: isHidden=0, isEAP=0, isWPA=0, isWEP=0, WAPI=0, type=0, enabled=1, current: PhoneReset: isHidden=0, isEAP=0, isWPA=0, isWEP=0, WAPI=0, type=0, enabled=1
11/25/2018  4:40:01.315 __WiFiDeviceManagerTransitionToNetwork: no need for transition...
11/25/2018  4:40:01.315 __WiFiManagerDeviceLinkCallback_block_invoke: Setting LeakyAP info
11/25/2018  4:40:01.315 WiFiMetricsManagerMetricQueryCallback: <Thread 1876766720> <0x90027>
11/25/2018  4:40:01.315 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDAttemptedStr:PhoneReset, 
11/25/2018  4:40:01.315 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDConnectedToStr:PhoneReset
11/25/2018  4:40:01.315 WiFiMetricsManagerMetricQueryCallback: <Thread 1876766720> <0x90027>
11/25/2018  4:40:01.315 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDAttemptedStr:PhoneReset, 
11/25/2018  4:40:01.315 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDConnectedToStr:PhoneReset
11/25/2018  4:40:01.315 Creating client for "configd"
11/25/2018  4:40:01.315 Submitted wifi awd metric <0x90027> with no error
11/25/2018  4:40:01.315 Submitted wifi awd metric <0x90027> with no error
11/25/2018  4:40:01.317 __WiFiDeviceCheckForIPRenewalWakeupSupport: State:/Network/Interface/en0/ActiveDuringSleepSupported = TRUE
11/25/2018  4:40:01.326 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:40:01.328 locationd requesting removal of BGScan networks
11/25/2018  4:40:01.328 Preparing background scan request for "PhoneReset" Background Scan Caching is Enabled
11/25/2018  4:40:01.333 WiFiDeviceRequestAssociatedSleep: ActiveDuringSleepRequested is already set (<CFBasicHash 0x1006a6dc0 [0x1b45cf538]>{type = immutable dict, count = 0,
entries =>
}
).
11/25/2018  4:40:01.335 Completed Apple80211AssociateAsync (0 - 0x0)
11/25/2018  4:40:01.335 Joined: PhoneReset
11/25/2018  4:40:01.335 Auto join association completed (0) with current state: Associating, network: PhoneReset
11/25/2018  4:40:01.335 __WiFiDeviceManagerStateMachineRun: current state: Associating
11/25/2018  4:40:01.335 __WiFiDeviceManagerProcessAssociationResult: current state: Associating
11/25/2018  4:40:01.335 WiFiNetworkSetKnownBssUsageData: BSS updated - current BSS: 0:14:d1:af:39:90 (11)
11/25/2018  4:40:01.335 Removing problematic state for PhoneReset, reason N/A reasonData=0
11/25/2018  4:40:01.335 problematic networks =  and potentially problematic networks = 
11/25/2018  4:40:01.335 __WiFiDeviceManagerBGScanBlacklistApplyEnterprisePolicy: ApplyEnterprisePolicy:0 managedProfile:0 enterpriseNetwork:0
11/25/2018  4:40:01.335 Removing BG Scan Trigger Processing for PhoneReset, triggerReason Unblacklisting triggerReasonData=0 
11/25/2018  4:40:01.335 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:40:01.335 bGScan Blacklisted Networks =  , potentialBgScanBlacklisted Networks =  
11/25/2018  4:40:01.336 WiFiMetricsManagerSubmitAutoJoinSessionRecordsMetric: interface en0 has 2 AJ records to submit...
11/25/2018  4:40:01.336 Calling OneStats function [AssocComplete] here: __WiFiDeviceDispatchQueuedAssociationEvent
11/25/2018  4:40:01.336 WiFiMetricsOneStatsRecordAssocStats: OneStats is NOT Configured! No-op here- Returning!
11/25/2018  4:40:01.336 __WiFiDeviceRecordLastSSIDInfo: network:PhoneReset assocSuccess:1 
11/25/2018  4:40:01.336 __WiFiManagerDidAssociateCallback: network PhoneReset, requestedInformation <CFBasicHash 0x10051cae0 [0x1b45cf538]>{type = mutable dict, count = 1,
entries =>
	2 : <CFString 0x100430070 [0x1b45cf538]>{contents = "reason"} = <CFString 0x10043dbb0 [0x1b45cf538]>{contents = "Associating"}
}

11/25/2018  4:40:01.336 WiFiManagerUpdateNetwork: <thread 0x16fdd3000> merge 1, PhoneReset: isHidden=0, isEAP=0, isWPA=0, isWEP=0, WAPI=0, type=0, enabled=1
11/25/2018  4:40:01.336 Submitted wifi awd metric <0x9004d> with no error
11/25/2018  4:40:01.338 WiFiManagerUpdateNetwork: hiddenChanged=0 captiveChanged=0
11/25/2018  4:40:01.338 __WiFiManagerCheckNetworkExpiry: network count 3
11/25/2018  4:40:01.338 __WiFiManagerCheckNetworkExpiry: minTexpire 0.000000, deltaTexpire 564835201.338487
11/25/2018  4:40:01.338 __WiFiManagerPreferencesCallback: <thread 0x16fdd3000>, 2
11/25/2018  4:40:01.339 WiFiLoggingSetLogFile: Current log file: (null), new log file: (null), class C file: NO
11/25/2018  4:40:01.339 __WiFiManagerDeviceManagerApplier: set policies (null)
11/25/2018  4:40:01.339 WiFiDeviceSetWapiEnabled: Set WAPI DISABLED
